Country;Region;Global South
Zimbabwe;Africa;Global South
Zambia;Africa;Global South
Western Sahara;Africa;Global South
Uganda;Africa;Global South
Togo;Africa;Global South
Tanzania;Africa;Global South
Swaziland;Africa;Global South
South Sudan;Africa;Global South
South Africa;Africa;Global South
Sierra Leone;Africa;Global South
Seychelles;Africa;Global South
Senegal;Africa;Global South
Sao Tome and Principe;Africa;Global South
Saint Helena;Africa;Global South
Rwanda;Africa;Global South
Nigeria;Africa;Global South
Niger;Africa;Global South
Namibia;Africa;Global South
Mozambique;Africa;Global South
Mayotte;Africa;Global South
Mauritius;Africa;Global South
Mali;Africa;Global South
Malawi;Africa;Global South
Madagascar;Africa;Global South
Liberia;Africa;Global South
Lesotho;Africa;Global South
Kenya;Africa;Global South
Guinea-Bissau;Africa;Global South
Guinea;Africa;Global South
Ghana;Africa;Global South
Gambia;Africa;Global South
Gabon;Africa;Global South
Ethiopia;Africa;Global South
Eritrea;Africa;Global South
Equatorial Guinea;Africa;Global South
Cote D'Ivoire;Africa;Global South
Congo;Africa;Global South
Congo;Africa;Global South
Chad;Africa;Global South
Central African Republic;Africa;Global South
Cape Verde;Africa;Global South
Cameroon;Africa;Global South
Burundi;Africa;Global South
Burkina Faso;Africa;Global South
Botswana;Africa;Global South
Benin;Africa;Global South
Angola;Africa;Global South
Tunisia;Arab States;Global South
Sudan;Arab States;Global South
Somalia;Arab States;Global South
Palestinian Territory;Arab States;Global South
Morocco;Arab States;Global South
Mauritania;Arab States;Global South
Djibouti;Arab States;Global South
Comoros;Arab States;Global South
Bahrain;Arab States;Global South
Algeria;Arab States;Global South
Taiwan;Asia & Pacific;Global North
Singapore;Asia & Pacific;Global North
New Zealand;Asia & Pacific;Global North
Korea;Asia & Pacific;Global North
Kazakhstan;Asia & Pacific;Global North
Japan;Asia & Pacific;Global North
Azerbaijan;Asia & Pacific;Global North
Australia;Asia & Pacific;Global North
Wallis and Futuna;Asia & Pacific;Global South
Vietnam;Asia & Pacific;Global South
Vanuatu;Asia & Pacific;Global South
Uzbekistan;Asia & Pacific;Global South
United States Minor Outlying Islands;Asia & Pacific;Global South
Tuvalu;Asia & Pacific;Global South
Turkmenistan;Asia & Pacific;Global South
Tonga;Asia & Pacific;Global South
Tokelau;Asia & Pacific;Global South
Timor-Leste;Asia & Pacific;Global South
Thailand;Asia & Pacific;Global South
Tajikistan;Asia & Pacific;Global South
Syrian Arab Republic;Asia & Pacific;Global South
Sri Lanka;Asia & Pacific;Global South
Solomon Islands;Asia & Pacific;Global South
Samoa;Asia & Pacific;Global South
Reunion;Asia & Pacific;Global South
Pitcairn Islands;Asia & Pacific;Global South
Philippines;Asia & Pacific;Global South
Papua New Guinea;Asia & Pacific;Global South
Palau;Asia & Pacific;Global South
Pakistan;Asia & Pacific;Global South
Northern Mariana Islands;Asia & Pacific;Global South
Norfolk Island;Asia & Pacific;Global South
Niue;Asia & Pacific;Global South
New Caledonia;Asia & Pacific;Global South
Nepal;Asia & Pacific;Global South
Nauru;Asia & Pacific;Global South
Myanmar;Asia & Pacific;Global South
Mongolia;Asia & Pacific;Global South
Micronesia;Asia & Pacific;Global South
Marshall Islands;Asia & Pacific;Global South
Maldives;Asia & Pacific;Global South
Malaysia;Asia & Pacific;Global South
Macau;Asia & Pacific;Global South
Lao People's Democratic Republic;Asia & Pacific;Global South
Kyrgyzstan;Asia & Pacific;Global South
Korea;Asia & Pacific;Global South
Kiribati;Asia & Pacific;Global South
Indonesia;Asia & Pacific;Global South
India;Asia & Pacific;Global South
Hong Kong;Asia & Pacific;Global South
Heard Island and McDonald Islands;Asia & Pacific;Global South
Guam;Asia & Pacific;Global South
French Southern Territories;Asia & Pacific;Global South
French Polynesia;Asia & Pacific;Global South
Fiji;Asia & Pacific;Global South
Cook Islands;Asia & Pacific;Global South
Cocos (Keeling) Islands;Asia & Pacific;Global South
Christmas Island;Asia & Pacific;Global South
China;Asia & Pacific;Global South
Cambodia;Asia & Pacific;Global South
Brunei Darussalam;Asia & Pacific;Global South
British Indian Ocean Territory;Asia & Pacific;Global South
Bhutan;Asia & Pacific;Global South
Bangladesh;Asia & Pacific;Global South
Antarctica;Asia & Pacific;Global South
American Samoa;Asia & Pacific;Global South
Afghanistan;Asia & Pacific;Global South
United Kingdom;Europe;Global North
Ukraine;Europe;Global North
Turkey;Europe;Global North
Switzerland;Europe;Global North
Sweden;Europe;Global North
Svalbard and Jan Mayen;Europe;Global North
Spain;Europe;Global North
Slovenia;Europe;Global North
Slovakia;Europe;Global North
Serbia;Europe;Global North
San Marino;Europe;Global North
Russian Federation;Europe;Global North
Romania;Europe;Global North
Portugal;Europe;Global North
Poland;Europe;Global North
Norway;Europe;Global North
Netherlands;Europe;Global North
Montenegro;Europe;Global North
Monaco;Europe;Global North
Moldova;Europe;Global North
Malta;Europe;Global North
Macedonia;Europe;Global North
Luxembourg;Europe;Global North
Lithuania;Europe;Global North
Liechtenstein;Europe;Global North
Latvia;Europe;Global North
Jersey;Europe;Global North
Italy;Europe;Global North
Israel;Europe;Global North
Isle of Man;Europe;Global North
Ireland;Europe;Global North
Iceland;Europe;Global North
Hungary;Europe;Global North
Holy See (Vatican City State);Europe;Global North
Guernsey;Europe;Global North
Greenland;Europe;Global North
Greece;Europe;Global North
Gibraltar;Europe;Global North
Germany;Europe;Global North
Georgia;Europe;Global North
France;Europe;Global North
France;Europe;Global North
Finland;Europe;Global North
Faroe Islands;Europe;Global North
Estonia;Europe;Global North
Denmark;Europe;Global North
Czech Republic;Europe;Global North
Cyprus;Europe;Global North
Croatia;Europe;Global North
Bulgaria;Europe;Global North
Bosnia and Herzegovina;Europe;Global North
Belgium;Europe;Global North
Belarus;Europe;Global North
Austria;Europe;Global North
