CD_UNID_ORG,CD_PED,CD_IT_PED,CD_PROD_SK,DT_EMIS_PED,DT_PREVIS_ENTREGA,VO_PROD,CD_SIT_IT_PED,CD_TIPO_RETIR,CD_PTOV,CD_SEGTO_MERC,DT_PREV_SAIDA,CD_TPNEG,DT_ALTER
76269,1968,2,11110000,2022-01-13,2022-01-14,8000,1,1,1305396,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76375,650,1,15310002,2022-01-13,2022-01-14,10000,2,1,1368904,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76921,2027,1,11200000,2022-01-13,2022-01-14,6050,1,1,1321398,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76272,826910,1,15310000,2022-01-12,2022-01-26,15000,1,2,184350,CON,2022-01-26,29,2022-01-13T19:40:19.628+0000
76934,5112,1,15310002,2022-01-13,2022-01-14,5000,1,1,1306964,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76239,5804,1,15310000,2022-01-13,2022-01-14,10000,1,2,1279250,CON,2022-01-14,29,2022-01-13T19:40:19.628+0000
76970,1128,2,15190002,2022-01-13,2022-01-14,5000,2,1,1305458,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76515,840885,1,15310017,2022-01-13,2022-01-17,5000,1,2,29917,CON,2022-01-17,21,2022-01-13T19:40:19.628+0000
76264,831408,1,10000003,2022-01-12,2022-01-14,10000,1,2,35166,REV,2022-01-14,84,2022-01-13T19:40:19.628+0000
76257,849455,1,11110000,2022-01-13,2022-01-14,5000,1,2,72757,REV,2022-01-14,20,2022-01-13T19:40:19.628+0000
76563,845315,1,15310002,2022-01-13,2022-01-14,10000,2,1,1305468,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76269,3855,3,15310002,2022-01-13,2022-01-14,5000,1,2,1318706,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76520,838803,1,15310000,2022-01-12,2022-01-14,5000,2,1,1289831,TRR,2022-01-14,38,2022-01-13T19:40:19.628+0000
76520,848714,1,15310002,2022-01-13,2022-01-14,25000,1,4,5789,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76370,846841,1,10000003,2022-01-13,2022-01-13,12000,1,1,99162,REV,2022-01-13,23,2022-01-13T19:40:19.628+0000
76370,841459,1,11110000,2022-01-13,2022-01-15,5000,1,2,1334278,REV,2022-01-15,23,2022-01-13T19:40:19.628+0000
76919,842118,1,11200000,2022-01-13,2022-01-14,5000,1,1,1311658,REV,2022-01-14,23,2022-01-13T19:40:19.628+0000
76230,180,1,10000301,2022-01-13,2022-01-14,20000,2,4,1391559,REV,2022-01-14,61,2022-01-13T19:40:19.628+0000
